,polarity
472,3
473,2
474,1
475,1
476,6
477,1
478,6
479,6
480,6
481,6
482,1
483,6
484,2
485,2
486,6
487,6
488,2
489,1
490,6
491,2
492,6
493,1
494,6
495,6
496,6
497,6
498,5
499,1
500,6
501,1
502,1
503,6
504,6
505,1
506,6
507,3
508,6
509,1
510,2
511,6
512,5
513,6
514,6
515,1
516,6
517,5
518,6
519,5
520,2
521,2
522,6
523,6
524,6
525,6
526,3
527,1
528,2
529,6
530,5
531,6
532,1
533,6
534,6
535,6
536,1
537,6
538,6
539,1
540,1
541,1
542,1
543,6
544,2
545,2
546,6
547,1
548,6
549,6
550,2
551,6
552,3
553,6
554,6
555,6
556,2
557,6
558,3
559,1
560,6
561,6
562,1
563,6
564,1
565,6
566,1
567,6
568,6
569,6
570,6
571,6
572,6
573,6
574,6
575,6
576,1
577,5
578,1
579,6
580,6
581,6
582,2
583,5
584,1
585,1
586,5
587,1
588,6
589,6
590,2
591,1
592,6
593,3
594,2
595,6
596,6
597,2
598,4
599,1
600,6
601,1
602,5
603,2
604,2
605,6
606,6
607,6
608,6
609,6
610,1
611,6
612,1
613,6
614,2
615,1
616,6
617,1
618,2
619,1
620,2
621,6
622,5
623,2
624,6
625,6
626,6
627,1
628,6
629,2
630,2
631,1
632,3
633,6
634,5
635,1
636,2
637,1
638,1
639,2
640,6
641,6
642,1
643,6
644,2
645,6
646,6
647,6
648,5
649,5
650,6
651,6
652,1
653,1
654,6
655,6
656,2
657,6
658,2
659,2
660,6
661,1
662,6
663,1
664,6
665,2
666,2
667,2
668,6
669,1
670,6
671,6
672,6
673,2
674,6
675,3
676,2
677,6
678,1
679,5
680,6
681,2
682,1
683,2
684,6
685,2
686,1
687,6
688,6
689,1
690,3
691,6
692,2
693,6
694,2
695,6
696,2
697,6
698,5
699,6
700,6
701,6
702,6
703,2
704,6
705,6
706,1
707,6
708,2
709,2
710,6
711,1
712,6
713,1
714,5
715,2
716,1
717,2
718,2
719,1
720,1
721,6
722,2
723,1
724,1
725,2
726,5
727,2
728,6
729,1
730,2
731,2
732,1
733,1
734,6
735,6
736,6
737,6
738,3
739,6
740,2
741,1
742,6
743,2
744,6
745,6
746,5
747,6
748,2
749,1
750,2
751,6
752,6
753,3
754,6
755,2
756,4
757,6
758,1
759,6
760,2
761,1
762,6
763,6
764,6
765,2
766,1
767,2
768,5
769,2
770,6
771,3
772,6
773,6
774,1
775,6
776,2
777,2
778,3
779,1
780,2
781,6
782,6
783,1
784,6
785,6
786,1
787,6
788,6
789,1
790,5
791,5
792,1
793,1
794,1
795,1
796,6
797,6
798,6
799,6
800,1
801,2
802,3
803,6
804,6
805,5
806,6
807,6
808,6
809,1
810,1
811,6
812,6
813,1
814,6
815,6
816,6
817,2
818,2
819,6
820,1
821,5
822,6
823,6
824,2
825,6
826,6
827,6
828,6
829,5
830,6
831,5
832,6
833,2
834,5
835,6
836,6
837,6
838,6
839,1
840,6
841,6
842,6
843,3
844,6
845,2
846,5
847,1
848,6
849,6
850,6
851,6
852,2
853,6
854,5
855,6
856,2
857,2
858,5
859,1
860,6
861,6
862,6
863,6
864,6
865,6
866,2
867,1
868,2
869,3
870,6
871,6
872,5
873,2
874,2
875,1
876,6
877,6
878,6
879,6
880,6
881,6
882,6
883,6
884,2
885,6
886,1
887,6
888,5
889,6
890,5
891,4
892,1
893,6
894,6
895,6
896,1
897,6
898,2
899,6
900,1
901,6
902,2
903,6
904,6
905,6
906,6
907,2
908,3
909,6
910,6
911,2
912,1
913,1
914,2
915,6
916,5
917,6
918,6
919,2
920,1
921,1
922,6
923,1
924,5
925,3
926,6
927,6
928,6
929,5
930,5
931,6
932,6
933,6
934,6
935,6
936,6
937,1
938,6
939,2
940,1
941,1
942,1
943,5
944,6
945,2
946,6
947,6
948,6
949,6
950,6
951,3
952,6
953,6
954,2
955,6
956,6
957,5
958,2
959,6
960,6
961,3
962,1
963,6
964,1
965,3
966,5
967,4
968,1
969,2
970,6
971,3
972,6
973,2
974,6
975,6
976,6
977,1
978,6
979,2
980,1
981,1
982,3
983,6
984,2
985,2
986,6
987,2
988,1
989,5
990,6
991,1
992,6
993,6
994,5
995,6
996,2
997,6
998,6
999,6
1000,6
