,polarity
981,6
982,6
983,6
984,1
985,6
986,6
987,6
988,3
989,6
990,6
991,6
992,1
993,2
994,2
995,6
996,6
997,3
998,6
999,2
1000,6
1001,6
1002,6
1003,6
1004,6
1005,1
1006,6
1007,6
1008,4
1009,3
1010,6
1011,1
1012,6
1013,6
1014,2
1015,6
1016,6
1017,6
1018,1
1019,6
1020,6
1021,5
1022,6
1023,6
1024,6
1025,2
1026,6
1027,3
1028,3
1029,1
1030,5
1031,3
1032,1
1033,2
1034,6
1035,6
1036,2
1037,6
1038,5
1039,1
1040,6
1041,6
1042,6
1043,6
1044,6
1045,2
1046,1
1047,6
1048,6
1049,2
1050,2
1051,1
1052,1
1053,6
1054,6
1055,6
1056,6
1057,5
1058,6
1059,1
1060,2
1061,6
1062,6
1063,6
1064,1
1065,6
1066,6
1067,5
1068,6
1069,1
1070,2
1071,6
1072,6
1073,3
1074,6
1075,6
1076,6
1077,6
1078,6
1079,1
1080,1
1081,6
1082,6
1083,1
1084,3
1085,3
1086,1
1087,6
1088,6
1089,1
1090,3
1091,6
1092,1
1093,3
1094,6
1095,6
1096,1
1097,4
1098,1
1099,2
1100,6
1101,6
1102,6
1103,6
1104,1
1105,2
1106,5
1107,6
1108,1
1109,6
1110,6
1111,6
1112,5
1113,6
1114,6
1115,3
1116,2
1117,6
1118,6
1119,2
1120,6
1121,2
1122,3
1123,1
1124,6
1125,6
1126,1
1127,1
1128,6
1129,6
1130,5
1131,3
1132,6
1133,1
1134,3
1135,6
1136,1
1137,1
1138,6
1139,6
1140,6
1141,1
1142,2
1143,2
1144,3
1145,6
1146,2
1147,6
1148,1
1149,1
1150,2
1151,6
1152,6
1153,6
1154,1
1155,5
1156,2
1157,5
1158,2
1159,2
1160,1
1161,6
1162,6
1163,6
1164,6
1165,1
1166,2
1167,6
1168,6
1169,6
1170,1
1171,1
1172,6
1173,6
1174,6
1175,1
1176,2
1177,1
1178,6
1179,6
1180,6
1181,2
1182,6
1183,1
1184,6
1185,1
1186,2
1187,6
1188,5
1189,2
1190,5
1191,2
1192,2
1193,6
1194,1
1195,6
1196,6
1197,2
1198,5
1199,6
1200,5
1201,2
1202,1
1203,3
1204,6
1205,1
1206,6
1207,6
1208,1
1209,2
1210,6
1211,1
1212,6
1213,6
1214,6
1215,2
1216,2
1217,2
1218,6
1219,1
1220,5
1221,6
1222,6
1223,5
1224,2
1225,6
1226,3
1227,1
1228,6
1229,1
1230,6
1231,2
1232,5
1233,1
1234,2
1235,6
1236,2
1237,5
1238,6
1239,1
1240,6
1241,6
1242,1
1243,2
1244,3
1245,3
1246,6
1247,6
1248,6
1249,6
1250,2
1251,6
1252,5
1253,1
1254,2
1255,1
1256,6
1257,6
1258,6
1259,6
1260,1
1261,6
1262,6
1263,6
1264,3
1265,6
1266,6
1267,1
1268,2
1269,6
1270,6
1271,2
1272,3
1273,2
1274,1
1275,5
1276,1
1277,2
1278,2
1279,6
1280,6
1281,1
1282,5
1283,3
1284,6
1285,6
1286,6
1287,2
1288,6
1289,6
1290,6
1291,1
1292,6
1293,1
1294,6
1295,6
1296,5
1297,6
1298,6
1299,4
1300,6
1301,6
1302,2
1303,1
1304,6
1305,6
1306,1
1307,6
1308,6
1309,6
1310,6
1311,6
1312,1
1313,6
1314,3
1315,1
1316,2
1317,1
1318,6
1319,1
1320,3
1321,4
1322,6
1323,6
1324,6
1325,2
1326,6
1327,6
1328,6
1329,6
1330,6
1331,6
1332,6
1333,5
1334,5
1335,6
1336,1
1337,6
1338,1
1339,6
1340,6
1341,6
1342,1
1343,2
1344,6
1345,2
1346,1
1347,2
1348,6
1349,6
1350,1
1351,2
1352,2
1353,1
1354,1
1355,2
1356,1
1357,5
1358,3
1359,2
1360,6
1361,4
1362,6
1363,6
1364,1
1365,3
1366,2
1367,6
1368,6
1369,6
1370,6
1371,6
1372,6
1373,6
1374,2
1375,1
1376,1
1377,6
1378,1
1379,3
1380,3
1381,5
1382,1
1383,1
1384,6
1385,3
1386,1
1387,1
1388,6
1389,2
1390,6
1391,4
1392,6
1393,2
1394,6
1395,6
1396,3
1397,5
1398,2
1399,1
1400,6
1401,6
1402,5
1403,5
1404,1
1405,2
1406,6
1407,1
1408,3
1409,3
1410,1
1411,6
1412,6
1413,1
1414,6
1415,6
1416,1
1417,5
1418,3
1419,6
1420,6
1421,3
1422,1
1423,6
1424,6
1425,1
1426,3
1427,6
1428,6
1429,6
1430,2
1431,2
1432,2
1433,6
1434,6
1435,3
1436,6
1437,6
1438,6
1439,5
1440,6
1441,5
1442,5
1443,2
1444,6
1445,6
1446,6
1447,2
1448,3
1449,6
1450,5
1451,6
1452,6
1453,6
1454,1
1455,5
1456,6
1457,6
1458,6
1459,6
1460,5
1461,6
1462,6
1463,6
1464,3
1465,6
1466,6
1467,6
1468,6
1469,6
1470,6
1471,3
1472,1
1473,2
1474,2
1475,6
1476,6
1477,1
1478,6
1479,2
1480,1
1481,1
1482,3
1483,5
1484,6
1485,3
1486,3
1487,6
1488,5
1489,6
1490,6
1491,1
1492,5
1493,2
1494,3
1495,3
1496,1
1497,5
1498,6
1499,2
1500,6
1501,6
1502,6
1503,6
1504,3
1505,2
1506,6
1507,6
1508,6
1509,3
1510,5
1511,6
1512,2
1513,4
1514,4
1515,6
1516,1
1517,2
1518,6
1519,2
1520,2
1521,2
1522,2
1523,2
1524,1
1525,2
1526,6
1527,6
1528,6
1529,5
1530,2
1531,6
1532,6
1533,6
1534,5
1535,3
1536,2
1537,6
1538,2
1539,6
1540,1
1541,3
1542,6
1543,6
1544,6
1545,3
1546,2
1547,1
1548,6
1549,6
1550,2
1551,1
1552,1
1553,6
1554,2
1555,6
1556,1
1557,6
1558,6
1559,1
1560,1
1561,6
1562,2
1563,6
1564,2
1565,6
1566,6
1567,6
1568,6
1569,1
1570,6
1571,6
1572,2
1573,2
1574,6
1575,6
1576,1
1577,6
1578,6
1579,1
1580,6
1581,6
1582,6
1583,1
1584,3
1585,6
1586,6
1587,2
1588,2
1589,6
1590,1
1591,6
1592,6
1593,1
1594,6
1595,1
1596,5
1597,6
1598,1
1599,6
1600,6
1601,6
1602,6
1603,6
1604,1
1605,1
1606,6
1607,2
1608,6
1609,6
1610,1
1611,3
1612,1
1613,5
1614,1
1615,6
1616,6
1617,2
1618,6
1619,6
1620,3
1621,1
1622,1
1623,5
1624,5
1625,2
1626,6
1627,6
1628,6
1629,6
1630,6
1631,5
1632,6
1633,1
1634,6
1635,5
1636,5
1637,5
1638,6
1639,6
1640,2
1641,6
1642,6
1643,1
1644,6
1645,2
1646,6
1647,1
1648,3
1649,1
1650,2
1651,5
1652,6
1653,6
1654,2
1655,1
1656,5
1657,3
1658,1
1659,1
1660,6
1661,2
1662,6
1663,1
1664,1
1665,2
1666,2
1667,2
1668,6
1669,2
1670,5
1671,1
1672,6
1673,6
1674,1
1675,2
1676,6
1677,6
1678,2
1679,6
1680,5
1681,6
1682,6
1683,1
1684,3
1685,5
1686,6
1687,6
1688,3
1689,1
1690,5
1691,1
1692,5
1693,2
1694,6
1695,6
1696,1
1697,3
1698,1
1699,2
1700,6
1701,6
1702,6
1703,6
1704,6
1705,5
1706,6
1707,2
1708,6
1709,6
1710,5
1711,6
1712,2
1713,3
1714,6
1715,1
1716,6
1717,1
1718,6
1719,6
1720,6
1721,6
1722,1
1723,6
1724,6
1725,2
1726,6
1727,1
1728,1
1729,2
1730,6
1731,6
1732,2
1733,6
1734,5
1735,1
1736,6
1737,6
1738,6
1739,2
1740,6
1741,3
1742,3
1743,1
1744,5
1745,6
1746,6
1747,5
1748,1
1749,5
1750,2
1751,2
1752,1
1753,1
1754,6
1755,1
1756,6
1757,5
1758,6
1759,2
1760,1
1761,6
1762,6
1763,2
1764,6
1765,6
1766,6
1767,6
1768,5
1769,2
1770,2
1771,6
1772,1
1773,6
1774,2
1775,6
1776,6
1777,6
1778,1
1779,6
1780,2
1781,6
1782,6
1783,6
1784,6
1785,1
1786,6
1787,6
1788,1
1789,5
1790,5
1791,2
1792,5
1793,6
1794,6
1795,1
1796,5
1797,6
1798,6
1799,6
1800,2
1801,2
1802,6
1803,2
1804,3
1805,6
1806,2
1807,5
1808,6
1809,3
1810,6
1811,6
1812,6
1813,6
1814,1
1815,6
1816,1
1817,6
1818,4
1819,2
1820,6
1821,2
1822,6
1823,6
1824,6
1825,6
1826,6
1827,1
1828,6
1829,2
1830,6
1831,6
1832,3
1833,6
1834,5
1835,6
1836,6
1837,2
1838,6
1839,6
1840,6
1841,5
1842,6
1843,1
1844,6
1845,2
1846,1
1847,2
1848,1
1849,6
1850,6
1851,6
1852,2
1853,3
1854,6
1855,5
1856,6
1857,2
1858,6
1859,6
1860,6
1861,3
1862,2
1863,1
1864,2
1865,2
1866,1
1867,6
1868,6
1869,6
1870,6
1871,6
1872,6
1873,3
1874,6
1875,1
1876,6
1877,1
1878,6
1879,6
1880,1
1881,1
1882,6
1883,2
1884,5
1885,5
1886,5
1887,6
1888,1
1889,6
1890,6
1891,5
1892,1
1893,2
1894,1
1895,6
1896,3
1897,3
1898,6
1899,6
1900,6
1901,2
1902,6
1903,6
1904,5
1905,6
1906,6
1907,1
1908,1
1909,5
1910,2
1911,2
1912,3
1913,6
1914,6
1915,6
1916,1
1917,6
1918,6
1919,6
1920,1
1921,6
1922,1
1923,2
1924,2
1925,2
1926,1
1927,2
1928,1
1929,1
1930,6
1931,5
1932,2
1933,6
1934,1
1935,6
1936,6
1937,6
1938,1
1939,6
1940,5
1941,2
1942,6
1943,1
1944,6
1945,5
1946,2
1947,6
1948,2
1949,2
1950,6
1951,5
1952,2
1953,2
1954,2
1955,6
1956,1
1957,1
1958,3
1959,6
1960,6
1961,1
1962,2
1963,5
1964,1
1965,1
1966,6
1967,4
1968,6
1969,1
1970,6
1971,3
1972,6
1973,6
1974,1
1975,5
1976,6
1977,6
1978,6
1979,1
1980,6
1981,1
1982,6
1983,2
1984,2
1985,5
1986,6
1987,2
1988,6
1989,2
1990,1
1991,6
1992,6
1993,5
1994,2
1995,6
1996,2
1997,1
1998,6
1999,6
2000,6
2001,6
2002,5
2003,3
2004,2
2005,2
2006,3
2007,3
2008,6
2009,6
2010,6
2011,2
2012,5
2013,5
2014,6
2015,2
2016,6
2017,6
2018,1
2019,4
2020,5
2021,2
2022,1
2023,6
2024,6
2025,5
2026,6
2027,1
2028,6
2029,6
2030,2
2031,5
2032,3
2033,3
2034,1
2035,6
2036,1
2037,6
2038,6
2039,6
2040,6
2041,5
2042,4
2043,6
2044,1
2045,5
2046,5
2047,2
2048,5
2049,2
2050,6
2051,6
2052,5
2053,6
2054,5
2055,3
2056,6
2057,6
2058,6
2059,1
2060,1
2061,2
2062,6
2063,6
2064,2
2065,6
2066,5
2067,5
2068,6
2069,1
2070,6
2071,6
2072,5
2073,5
2074,1
2075,6
2076,2
2077,2
2078,2
2079,2
2080,6
2081,2
2082,5
2083,5
2084,6
2085,6
2086,6
2087,6
2088,6
2089,1
2090,1
2091,1
2092,5
2093,1
2094,6
2095,1
2096,2
2097,6
2098,1
2099,6
2100,6
2101,2
2102,6
2103,5
2104,2
2105,2
2106,1
2107,6
2108,6
2109,3
2110,1
2111,1
2112,6
2113,5
2114,6
2115,5
2116,1
2117,6
2118,6
2119,2
2120,6
2121,5
2122,6
2123,1
2124,6
2125,3
2126,6
2127,5
2128,2
2129,6
2130,6
2131,2
2132,6
2133,1
2134,2
2135,6
2136,6
2137,6
2138,6
2139,6
2140,3
2141,6
2142,2
2143,4
2144,1
2145,6
2146,6
2147,6
2148,6
2149,2
2150,1
2151,6
2152,1
2153,6
2154,6
2155,6
2156,6
2157,6
2158,1
2159,1
2160,3
2161,2
2162,6
2163,6
2164,5
2165,6
2166,6
2167,5
2168,1
2169,6
2170,5
2171,6
2172,6
2173,2
2174,1
2175,5
2176,1
2177,2
2178,2
2179,4
2180,6
2181,1
2182,6
2183,1
2184,6
2185,6
2186,6
2187,3
2188,6
2189,6
2190,6
2191,6
2192,2
2193,6
2194,6
2195,1
2196,2
2197,6
2198,6
2199,2
2200,6
2201,1
2202,6
2203,6
2204,6
2205,6
2206,6
2207,6
2208,6
2209,1
2210,1
2211,6
2212,1
2213,6
2214,1
2215,1
2216,6
2217,6
2218,4
2219,1
2220,6
2221,6
2222,6
2223,6
2224,6
2225,6
2226,1
2227,6
2228,5
2229,6
2230,5
2231,5
2232,6
2233,3
2234,6
2235,6
2236,6
2237,6
2238,6
2239,5
2240,1
2241,6
2242,2
2243,2
2244,4
2245,3
2246,1
2247,6
2248,2
2249,6
2250,2
2251,6
2252,3
2253,1
2254,6
2255,6
2256,2
2257,2
2258,6
2259,6
2260,6
2261,2
2262,6
2263,6
2264,2
2265,6
2266,1
2267,6
2268,2
2269,6
2270,6
2271,1
2272,6
2273,6
2274,6
2275,6
2276,6
2277,1
2278,2
2279,6
2280,6
2281,6
2282,2
2283,6
2284,3
2285,2
2286,6
2287,6
2288,6
2289,2
2290,3
2291,1
2292,6
2293,6
2294,6
2295,5
2296,6
2297,1
2298,6
2299,6
2300,6
2301,1
2302,2
2303,1
2304,6
2305,3
2306,6
2307,6
2308,6
2309,6
2310,2
2311,6
2312,1
2313,6
2314,6
2315,1
2316,1
2317,3
2318,5
2319,1
2320,2
2321,6
2322,6
2323,6
2324,6
2325,6
2326,6
2327,6
2328,6
2329,2
2330,3
2331,5
2332,6
2333,1
2334,5
2335,6
2336,6
2337,5
2338,2
2339,5
2340,1
2341,5
2342,1
2343,6
2344,6
2345,1
2346,6
2347,6
2348,2
2349,6
2350,5
2351,6
2352,3
2353,6
2354,5
2355,6
2356,3
2357,6
2358,6
2359,6
2360,6
2361,1
2362,6
2363,5
2364,6
2365,1
2366,1
2367,3
2368,3
2369,2
2370,6
2371,1
2372,6
2373,6
2374,6
2375,6
2376,6
2377,2
2378,6
2379,6
2380,6
2381,2
2382,6
2383,6
2384,6
2385,6
2386,1
2387,2
2388,2
2389,6
2390,6
2391,1
2392,6
2393,6
2394,2
2395,1
2396,2
2397,5
2398,2
2399,6
2400,6
2401,2
2402,3
2403,6
2404,1
2405,6
2406,6
2407,3
2408,6
2409,4
2410,3
2411,6
2412,2
2413,1
2414,3
2415,6
2416,3
2417,6
2418,6
2419,2
2420,2
2421,5
2422,6
2423,1
2424,2
2425,6
2426,6
2427,2
2428,6
2429,6
2430,5
2431,6
2432,5
2433,6
2434,1
2435,2
2436,6
2437,6
2438,6
2439,1
2440,2
2441,6
2442,6
2443,2
2444,6
2445,6
2446,6
2447,2
2448,6
2449,6
2450,1
2451,2
2452,2
2453,5
2454,6
2455,6
2456,1
2457,2
2458,2
2459,1
2460,3
2461,2
2462,6
2463,5
2464,6
2465,1
2466,1
2467,1
2468,6
2469,3
2470,2
2471,6
2472,1
2473,2
2474,6
2475,6
2476,1
2477,6
2478,2
2479,6
2480,6
2481,2
2482,6
2483,2
2484,6
2485,1
2486,6
2487,1
2488,1
2489,6
2490,6
2491,6
2492,6
2493,3
2494,3
2495,6
2496,2
2497,3
2498,3
2499,1
2500,2
2501,6
2502,6
2503,6
2504,1
2505,6
2506,1
2507,6
2508,6
2509,2
2510,5
2511,6
2512,5
2513,2
2514,5
2515,6
2516,6
2517,2
2518,6
2519,2
2520,6
2521,6
2522,2
2523,2
2524,6
2525,1
2526,6
2527,3
2528,6
2529,6
2530,5
2531,2
2532,1
2533,1
2534,6
2535,6
2536,5
2537,2
2538,6
2539,6
2540,2
2541,6
2542,6
2543,6
2544,1
2545,6
2546,6
2547,1
2548,6
2549,6
2550,5
2551,5
2552,1
2553,6
2554,1
2555,4
2556,5
2557,6
2558,1
2559,3
2560,1
2561,6
2562,1
2563,5
2564,6
2565,1
2566,2
2567,6
2568,5
2569,3
2570,6
2571,1
2572,6
2573,6
2574,6
2575,2
2576,2
2577,6
2578,6
2579,6
2580,3
2581,2
2582,5
2583,6
2584,6
2585,1
2586,6
2587,6
2588,3
2589,5
2590,1
2591,6
2592,5
2593,2
2594,1
2595,6
2596,1
2597,5
2598,1
2599,6
2600,6
2601,6
2602,6
2603,2
2604,6
2605,1
2606,6
2607,6
2608,6
2609,2
2610,5
2611,6
2612,6
2613,6
2614,6
2615,6
2616,2
2617,1
2618,6
2619,6
2620,6
2621,1
2622,5
2623,6
2624,5
2625,1
2626,1
2627,6
2628,6
2629,6
2630,1
2631,1
2632,4
2633,1
2634,5
2635,6
2636,6
2637,2
2638,3
2639,2
2640,6
2641,6
2642,6
2643,1
2644,1
2645,1
2646,6
2647,2
2648,6
2649,6
2650,6
2651,6
2652,6
2653,3
2654,1
2655,6
2656,6
2657,1
2658,6
2659,1
2660,6
2661,6
2662,6
2663,6
2664,6
2665,6
2666,5
2667,6
2668,2
2669,5
2670,6
2671,2
2672,6
2673,1
2674,6
2675,6
2676,6
2677,6
2678,6
2679,3
2680,1
2681,3
2682,6
2683,2
2684,6
2685,1
2686,6
2687,2
2688,1
2689,3
2690,1
2691,6
2692,2
2693,5
2694,6
2695,6
2696,5
2697,5
2698,6
2699,2
2700,6
2701,6
2702,2
2703,6
2704,6
2705,6
2706,6
2707,1
2708,6
2709,6
2710,6
2711,2
2712,1
2713,6
2714,6
2715,1
2716,6
2717,2
2718,2
2719,3
2720,6
2721,2
2722,2
2723,2
2724,5
2725,6
2726,6
2727,6
2728,2
2729,6
2730,4
2731,1
2732,6
2733,2
2734,6
2735,6
2736,5
2737,2
2738,6
2739,3
2740,6
2741,1
2742,6
2743,6
2744,1
2745,1
2746,1
2747,6
2748,1
2749,6
2750,1
2751,2
2752,6
2753,1
2754,2
2755,6
2756,2
2757,2
2758,6
2759,6
2760,1
2761,2
2762,2
2763,2
2764,5
2765,5
2766,3
2767,6
2768,6
2769,6
2770,1
2771,2
2772,6
2773,1
2774,6
2775,6
2776,1
2777,6
2778,6
2779,2
2780,3
2781,3
2782,6
2783,3
2784,2
2785,5
2786,2
2787,6
2788,1
2789,1
2790,4
2791,6
2792,1
2793,6
2794,3
2795,2
2796,5
2797,2
2798,6
2799,6
2800,5
2801,6
2802,6
2803,6
2804,6
2805,6
2806,1
2807,6
2808,6
2809,6
2810,6
2811,3
2812,6
2813,6
2814,6
2815,6
2816,6
2817,6
2818,6
2819,6
2820,6
2821,1
2822,2
2823,2
2824,1
2825,6
2826,2
2827,2
2828,6
2829,3
2830,6
2831,6
2832,5
2833,2
2834,2
2835,6
2836,6
2837,5
2838,1
2839,6
2840,2
2841,1
2842,1
2843,2
2844,1
2845,6
2846,6
2847,1
2848,6
2849,3
2850,5
2851,5
2852,5
2853,5
2854,1
2855,6
2856,1
2857,6
2858,6
2859,6
2860,6
2861,1
2862,1
2863,2
2864,6
2865,6
2866,2
2867,5
2868,3
2869,6
2870,1
2871,2
2872,1
2873,2
2874,6
2875,6
2876,6
2877,2
2878,1
2879,6
2880,6
2881,6
2882,6
2883,1
2884,1
2885,6
2886,6
2887,5
2888,6
2889,2
2890,6
2891,2
2892,5
2893,6
2894,6
2895,3
2896,1
2897,3
2898,6
2899,1
2900,6
2901,2
2902,6
2903,2
2904,2
2905,4
2906,2
2907,1
2908,6
2909,6
2910,6
2911,2
2912,3
2913,5
2914,1
2915,1
2916,1
2917,1
2918,2
2919,1
2920,6
2921,6
2922,1
2923,1
2924,6
2925,4
2926,6
2927,5
2928,6
2929,3
2930,1
2931,2
2932,1
2933,6
2934,4
2935,1
2936,6
2937,6
2938,6
2939,1
2940,1
2941,2
2942,1
2943,6
2944,2
2945,2
2946,6
2947,2
2948,1
2949,5
2950,6
2951,6
2952,6
2953,6
2954,6
2955,5
2956,1
2957,3
2958,1
2959,6
2960,1
2961,1
2962,1
2963,6
2964,6
2965,6
2966,6
2967,5
2968,5
2969,2
2970,6
2971,6
2972,1
2973,1
2974,6
2975,2
2976,1
2977,1
2978,6
2979,3
2980,2
2981,2
2982,6
2983,6
2984,6
2985,6
2986,1
2987,1
2988,2
2989,6
2990,6
2991,6
2992,6
2993,6
2994,6
2995,6
2996,1
2997,2
