,text,label
172,趴着睡不撅屁股就没事 ,6
173,我们一撅屁股就要醒 ,6
174,撅屁股睡觉好像有什么说法吧？你去查一下 ,6
175,孙仙女的我看过好几部都演的特别好，长的又好看 ,2
176,以前是不是和亲爱的聊过孙艺珍，我记性不好 ,6
177,好像吧我记性更差她真的好漂亮，我当时看假如爱有天意好喜欢她 ,2
178,喝牛奶胃痛，又不爱吃肉，怎么补充蛋白质呢 ,6
179,蒙牛新养道0乳糖 ,6
180,这个牛奶不会胀气吗？我喝伊利的脱脂奶胃痛死 ,5
181,这是去看啥大型演出了 ,6
182,五彩文化广场的露天晚会，随便看，不花钱的。 ,6
183,我去了一次只有音乐喷泉啊 ,3
184,哈哈这是用啥的相机？ ,6
185,不是相机，焖饭那里拿得 ,6
186,好吧，我以为你自制的 ,6
187,用心做的事情都好让人感动 ,2
188,宝贝，你多久打到的车 ,6
189,你走了一会会  我就打着车了 ,6
190,咱俩都是幸运的 ,1
191,大晚上的怎么了？怎么还要拍片？不要着急，已经是妈妈了，要更坚强，这样才能好好保护你的心头肉。加油。 ,2
192,由于我的疏忽孩子着凉了！后果有点严重 ,4
193,这两天听到周围的三四个孩子着凉发烧了，温差大，要好好注意。不要自责了，看好宝宝要紧。 ,6
194,哈哈，明天才开始啊 ,1
195,是的，短信上讲5号开始我才注意看到。我到家了 ,6
196,嗯，我刚刚在打电话，嘿嘿，改天再约出来哈！ ,1
197,嗯嗯，今天那个芒果椰膏好吃！ ,2
198,这样啊老了老了受不起大声的音乐 ,5
199,我也吓坏我了心脏受不了 ,5
200,看来我还是弃了好了 ,5
201,早上6:35分在伪皇宫和东大桥中间坏了 ,6
202,但后来在吉林大路又停了不知道具体为什么 ,6
203,可能没修好，现在一坐轻轨都后怕 ,4
204,你太坏，放毒就不说了，偏偏在这个时候，让我恨你吗？ ,5
205,一起锻炼坚强的意志力 ,2
206,目前还在坚持，不晓得能忍好久 ,6
207,粉丝到底是个什么存在？？？周杰伦知道你是谁？？可悲，可怜！ ,5
208,哇，现在只要是偶像不知道自己存在，都不好意思成为粉丝了?那大天朝几亿人真是混得差啊! ,5
209,不要自己和其他人混为一谈。 ,5
210,我后天有小测昨天做梦梦见僵尸狂叫我写试卷吓得我直接醒来 ,4
211,哈哈哈哈哈什么鬼，脑洞好大 ,1
212,考前焦虑每次快要考试就紧张梦里的内容都充满了压力 ,4
213,全家团聚的神马最开心了 ,1
214,哈哈！是我外公外婆这边儿后面三幅字画最右面一幅是我外公自己写的 ,1
215,给跪了、、大师啊！你有没有遗传到哈哈~祝两老福如东海寿比南山哈！ ,2
216,看到你很开心，很幸福，我也觉得好幸福。希望他十年如一日地爱着你！恩爱一直秀下去 ,2
217,好我努力他也努力我才想看你一直开开心心快快乐乐的 ,2
218,放心啦，我会很开心的，你不用担心我，好好经营你自己的感情就是啦！好久没看到你了，想你了。 ,2
219,咋啦不喜欢他了？ ,6
220,淡了很久了。 ,3
221,天了噜绝情的人 ,5
222,？？？？乍一看我以为是我跟你说的 ,6
223,你是好人，不会不照顾孤寡青年的内心的 ,2
224,哈哈哈哈哈哈哈孤寡中年吧 ,1
225,你跟他一样的货色！ ,5
226,有点好奇你什么时候学过骑马，貌似这是时尚白领的新潮流 ,6
227,是呀，之前都没听说过学骑马呢？这究竟是玩来着，还是为新戏准备呢，窦老师能告诉我们吗？ ,6
228,窦老师肯定说，那是秘密不能告诉你的。如果他真告诉你，我打赌到广东请您喝早茶啊！ ,6
229,窦老师最近会不会到上海来赛车呢？你要抓紧机会问问他呀！ ,6
230,所以回到我前面那条评论，我担心他不赛车，改赛马啦，我得回头找找上海有哪些骑马的地方喽 ,6
231,看过推荐这家！！ ,2
232,我们也是被推荐去的真的不错诶！！ ,2
233,哈哈哈好我要去离我超近 ,1
234,要早点去最好提前预约还有，就是有点小贵 ,6
235,垃圾egd真的废物bp两把都是大虫子老鼠不长记性 ,5
236,垃圾，懂？生活的不如意喷比你强的人？ ,5
237,狗腿子看到没又输了废物 ,5
238,真能走啊不说来贵阳么你人呢你人呢？？？？？？ ,3
239,谁叫贵阳不是港口？？快帮我在贵阳找要煤炭的，就可以去了哈哈 ,1
240,那来六盘水这边全是煤炭哈哈 ,1
241,甜的还是咸的呀 ,6
242,咸的，这边只有肉粽 ,6
243,嘉兴肉粽很好吃勒  嘻嘻 ,1
244,有点不尊重记者了 ,5
245,没事啦蜜蜂每个人表达自己观点罢了别太在意啦 ,6
246,还是有理智粉的 ,6
247,去他的滥情种，老娘看破了 ,5
248,好人还是有滴。正向你走来呢你要相信。 ,6
249,昨晚是我来协和第一次失眠！我不懂是好的还是不好的征兆 ,3
250,偶尔失眠正常啦没事。看来是白天过得太轻松了 ,6
251,也许是因为昨晚看了高度帅的照片的缘故 ,6
252,该死的，有人说减肥不买泡面，哎 ,5
253,该死的，是你不让我去买的 ,5
254,该死的，是我叫你买你不买的 ,5
255,张的好就是不一样啊 ,6
256,怎么会不一样啊～～ ,6
257,长得好惹人喜欢、惹人爱啊 ,6
258,我觉得我所有的皂片都正常美丽动人冰天雪地人景合一！ ,2
259,嗯呐，尤其是和黑蒙古包的合照，更是衬托你的气色红润万人迷，看了你的照片也是醉了 ,2
260,觉得不能一起愉快的玩耍了 ,3
261,同感同感同感！！！ ,6
262,其实一周只有周末我才有状态哇哈哈 ,1
263,我也是啊，tmd，我发现我现在周一到周五上课上得比大学还积极，大学偶尔还有一两天没课的时候！ ,5
264,你是演妖怪甲还是乙？ ,6
265,这都被你猜中了最主要的是还剩两天，现在还在加班做提案 ,6
266,悲催，为虾米你就不能演个葫芦娃呢？ ,3
267,依旧做俊发·····我也觉得我适合演葫芦娃，可就我一个窜角的话太抢戏了··不妥哈哈 ,1
268,贵阳得？有啥子不妥？我觉得妥妥得，演三娃，刀枪不入！ ,6
269,我就一个问题博主去丽江被当地人民强制坑了多少钱？ ,6
270,你有被强制坑的类似经历？ ,6
271,嗯想起来都恶心  以后绝对不会再去云南 ,5
272,摔倒了自暴自弃也是一种选择 ,6
273,有钱头寄点给我吃吃啊 ,6
274,你还喜欢吃甜的啊 ,2
275,我一直喜欢吃甜的 ,2
276,这款实在太喜欢了，地台超棒的，可惜我还没有，而且太贵了，15也没提升多少嘛 ,2
277,dx15提升的小细节不少，半植发，新款地台等等吧，而且预订也才1400左右，对于没入dx06的玩家来说还是很好哒，期待下 ,2
278,嗯嗯。15预订了两个，价格这次很亲民，06-15都是帅b啊，各有好处 ,2
279,我老公今早就被贴条了。就差六分钟。nnd ,5
280,帮你画圈圈诅咒丫的 ,5
281,没错！主要是一排车就贴了他一辆。挑着贴的！ ,5
282,这男的太可恶了 ,5
283,是很可恶，想起来还会心有馀悸。 ,5
284,多危险啊。万一后面还有车开过来后果不堪设想。 ,4
285,是哇还好女孩命大后面没有车有车你我现在也不会成姐妹了 ,4
286,啊?!这个女孩是姐姐这男的更该死了！ ,5
287,家培哥，不要伤心！你这么优秀公司舍不得勒…开心点，什么都难不到你！加油 ,2
288,优秀？？？优秀就不会考不过。 ,3
289,运气问题，老师发现桌面有题库了！一次考试又不能说明什么，不要气了，以后还有很多的检查航班需要你！ ,2
290,今天第一次看到你，感觉很不真实，全程一直看着你，却还觉得时间太少，以后还要再见你！ ,2
291,小叶子长得和电视上一样吗？ ,6
292,一样啊，看上去给人很舒服的感觉，就是觉得他好累，挺心疼的。 ,2
293,自己抓个人参不就得了 ,6
294,哪有人参让我随便抓的道理啊 ,6
295,有呀，那么大个六盘山难道还没有一两颗千年老参嘛 ,6
296,老女人   哼 ,5
297,那你明天还要见老女人吗 ,5
298,要啊，我就喜欢比我大的 ,2
299,啊，我去过那，陪朋友去喝中药，每次我都会抢着喝一点，简直是有病 ,5
300,对对那的工大美女到是挺多的 ,1
301,你是怎么了，中药都上了 ,3
302,呃一点点比较麻烦得病嘻嘻嘻没事的 ,1
303,哈哈哈哈哈来北京来北京我在北京等你 ,1
304,到时候请来我的格调loft陪我住（也不知道我能不能租的起啊哈哈哈 ,1
305,我真的超想你来北京！！因为觉得咱们肯定会很合拍一起吃吃喝喝聊聊干嘛之类的哈哈哈 ,1
306,正常丫，智齿都这样的 ,6
307,什么是智齿会痛吗我怕 ,4
308,发炎就痛，有些人痛有些人不痛，反正我四个长完就没痛过 ,6
309,你的粉丝增长好快，6000多了。好。 ,2
310,发原创文章就增长得多点…也是您早期转发给带出来的 ,2
311,还是你勤快，我的真粉也就那么多。 ,2
312,捧臭脚从台下捧到台下了，捞金组合无耻到家了根本不配做音乐小丑 ,5
313,我做不做音乐跟你有半毛钱关系，别那么累好吗？我好得很，您就别关心了谢谢啊。 ,5
314,我又没说跟我有关系只是从节目可以看出来人品差 ,5
315,男神总艾特非粉或者生粉、这些熟的一次机会都不给是不是 ,5
316,编号618你满足吧，昨天都回你了。哼 ,5
317,今儿不是没回么、他一天不理我、总感觉跟个事儿卡心里一样 ,5
318,你们快点去参加我在这里祝福 ,2
319,妹纸们可得多支持哦～ ,2
320,我是想去我不在那几个城市。放心小护，点映已阅。开始二刷三刷… ,6
321,西安没有红花会的成都有 ,6
322,哦哦，好的，谢谢啦。我想着红花会在西安，所以应该也会有一些演出可以看，所以问问，最近才跳进坑，不是多么了解 ,6
323,他们签的公司在北京的。不过下半年应该会有很多演出的 ,6
324,遇到这种事先打电话打给能第一时间到的朋友。女生晚上一个人还是要早点回家 ,6
325,真的有血泪教训了我还是要好好在家给你们写春联比较好 ,4
326,思想觉悟顿时提高总之没出大事就好 ,6
327,亲也长智齿了么!我也是! ,6
328,去年长的，拔了一颗现在。要去拔啊你应该 ,6
329,一开始好痛，医生给我消炎后不痛了，说没再发炎就尽量让它长 ,6
330,恭喜啊！能回家过年了！ ,2
331,是啊…你呢？不会回不了家过年吧？… ,6
332,我们过年不休息，但是我申请在沈阳飞一个月，就能回家过年了。 ,6
333,是我喜欢的元素 ,2
334,平跟的很舒服 ,2
335,你的身高不用高跟了 ,6
336,怎么了  心情不好啊 ,6
337,多多这个大坏蛋自私的要死 ,5
338,只买他想吃的不买你想吃的 ,5
339,哈哈一大早被你这梦乐醒了 ,1
340,哈哈其实还有好多细节呢我看见这位艺术家的工作室挺大明亮又宽敞还有中秋节的月饼盒子一米多长…哈哈我醒了也笑了 ,1
341,怎么会做这样的梦？潜意识里你想跳槽？ ,6
342,我为你的荷包感到担心 ,4
343,我就这点爱好了 ,6
344,哈哈哈哈哈所以每次张文宝说我花钱我都说你然后他就不说了 ,1
345,周末回来经常聚聚吖可以相互分享一下败家心得哈哈哈 ,1
346,哈哈哈哈哈可以有～估计张文宝以后和你们聚就不会带我了 ,1
347,真心希望他俩能好 ,2
348,黑粉太多，真好了还会被骂 ,5
349,黑粉估计都是脑残粉，我真搞不明白，别人谈个恋爱他们着什么急，难不成把他们搅黄了，还能娶他们不成 ,5
350,太太你们需要排版吗？？！！ ,6
351,需要校对！！！qaq ,6
352,qaq这边不做校对，可惜惹 ,3
353,实在不理解喝醉了撒疯的这些人喝醉了要不就是还有思想要不就是短片啊哪有那么多别的想法 ,5
354,这就是我不喜欢喝酒原因 ,5
355,对呀喝醉酒要么是断片要么就是还有意识只是借着酒精撒疯而已 ,5
356,哈哈哈…好好笑。假如不对称的话那就是瑕疵的美啊… ,1
357,看样子今天不会落枕了 ,6
358,哪有人希望自己落枕的… ,6
359,明显我开玩笑的啊，哈哈 ,1
360,那这算冷笑话么？ ,6
361,希望不要冻着你，呵呵 ,1
362,好巧我也收了宠猫跟彩虹糖不过都是薄荷色 ,1
363,好有缘。感觉彩虹糖黑色百搭一些入了黑色 ,1
364,哈哈哈彩虹糖选色当初纠结死我了因为觉得好多颜色都可爱 ,1
365,重大!!!以前最喜欢去吃饭然后散步的地方!!!好想念!!!你也算是川美熟人了哈哈哈哈 ,1
366,重大真的是最有大学氛围的，宽广大气，当然我还是对川美最有感情，毕竟，我也算是川美家属了 ,2
367,而且重大食堂也好吃!!!吃完湖边散步简直太安逸!!! ,2
368,我今天去了哦就是站最前面正中间短发那个女生！记得我吗？超级喜欢你！唱的特别棒加油 ,2
369,是戴眼镜的那位吗？谢谢你 ,1
370,嗯嗯对啊对啊加油啊！特别喜欢你！期待你的新歌！ ,2
371,就吗也会逛街？？？ ,6
372,而且还是自己一个人的we厉害咩 ,2
373,得窝哦【不带小植树去你个就吗怎么当的 ,6
374,所以，还是那句话gay逼们赶紧找到真艾，美美滋滋 ,5
375,诋毁别人，你也好不到哪去 ,5
376,说的gay狗跟个人一样 ,5
377,看了择天记真心觉得娜扎颜值好高阿   还不错的女孩儿  就是不知道为什么那么招黑 ,2
378,择天记她戏份好少，都是落落戏份比较多，不知道后面会不会多一些。 ,6
379,应该会多一些吧  好喜欢长生容儿   爱上娜扎了  太美了 ,2
380,美美哒！性格又好！ ,2
381,不到一个月你就找了小学妹我还在反思是不是我做的不够好 ,3
382,是不是你的桂花糕没捂热 ,6
383,他不爱吃桂花糕 ,3
384,他只是不喜欢吃你送的桂花糕 ,6
385,他和你什么关系呢？ ,6
386,没关系了，在一学校贴吧问真题，后来加的他，之前说过几句感觉还没啥，今天就这样了 ,6
387,你还是好好自己做题，问老师吧亲！ ,6
388,我要买他们学校的真题啊，要不然专业课不好弄。 ,6
389,？？？？？？您孩子麻烦以后别送到中国学校 ,5
390,这和中国学校有什么关系。不要带节奏好不好。我仅仅只是吐槽一下。人民教师的行为只是个人行为。与学校并无瓜葛。 ,6
391,因为您原评论说“都”   我才这样回复，觉得您以偏概全太偏激，当然也就“偏激”的角度回复您 ,5
392,你不是在昌平全封闭式的司法考试培训的么？？？ ,6
393,学习也是有假期，假期也是要进行一些有意义的课外活动的！ ,6
394,话说你司考复习的怎样鸟？ ,6
395,心情不好的时候不笑，但不笑的时候不一定心情不好。所以不要纠结笑不笑，心情不好就是不好。 ,3
396,你什么时候变得这么辩证了？其实我是想问你，我是死鱼脸吗？ ,3
397,你受啥刺激了，是又怎样不是又怎样，不用太在意别人的觉得 ,6
398,这个颜色实在太好看了真是让我纠结 ,2
399,好看就不要纠结买呗！ ,6
400,哈哈还是纠结蓝色和枚红色 ,1
401,哈哈别报太大希望啊万一垮了就掉的大 ,1
402,不会不会，力挺之啊 ,6
403,好吧我努力哈 ,1
404,装一瓶给我啊？我可以找天中午来拿哈哈 ,1
405,我刚还在想呢？要不要装一瓶给你，怕你不要呢 ,4
406,要，你弄个小瓶子，我如果明天空，就明天中午来拿哈哈 ,1
407,一个女人总会为她心爱的男人做出改变！ ,6
408,哈哈哈。你说这话的样子好认真啊。 ,1
409,哈哈…难道你有千里眼？还能看到我表情 ,1
410,说到今天的新春特辑就气 ,5
411,伦哥走了我就快进看完！！！充了会员，本想不浪费就看十五候鸟，！！！！ ,5
412,伦哥走了我就没看了   老坑了 ,5
413,我怕是惊喜，又跑出来了！！！快进还是没有！！！ ,5
414,哇！这饮料你拍的真好看！ ,2
415,你快看喵叽帮我加了个小猫咪上去！！！一织和我都圆满了！！！ ,2
416,看到了！可爱！果然有猫猫感觉就是不一样！ ,2
417,女王生了你还要多久 ,6
418,最迟下周二去住院了已经快42周 ,6
419,一般41周不生都催产了哎 ,6
420,哈哈哈哈哈哈哈哈狗妹，实不相瞒我能想到你的男朋友应该是是什么样子的 ,1
421,啊！你快告诉我！！！我也想知道！ ,1
422,一定是高个子长得干净帅气笑起来暖暖的穿什么都好看 ,2
423,我还以为去学习了，刚问祺仔她说老师不在幼儿园了！什么情况啊，宝贝们都很喜欢你呐！ ,2
424,我现在是自由的，专职的，钢琴老师呀！因为红黄蓝没有开设钢琴特色课了！ ,1
425,羡慕你的自由，加油啦！ ,2
426,#俞灏明#你很可爱哦…天气热注意防暑吧！ ,2
427,你来啦！我是婷姐 ,6
428,哦。婷姐好啊！嘻嘻 ,1
429,什么是基带丢失？ ,6
430,水货手机带网络锁的，刷机后基带会丢失的，imei码都没了，拨打电话会出现没注册网络，需要刷回一个基带回去 ,6
431,我看淘宝上卖的水货手机会有一个叫卡贴的东西也是针对这个问题的吧？ ,6
432,希望您今后还是少参加一些娱乐节目 ,6
433,反正我就是看了跨界歌王后喜欢了瑜老板，疯狂爱上 ,2
434,我是看了一个对她的专访 ,6
435,哈哈，我分不清你是你们两个中的那一个呢 ,1
436,这么说她应该不会生气 ,6
437,哈哈，我不知道哦 ,1
438,那啥，是不是暴露年龄了 ,4
439,总要老的嘛！！ ,6
440,不服老不行了，现在出门谁都叫我姐了 ,3
441,对的！要么就是叫阿姨 ,6
442,好羡慕他应该不是那种架子很高的人吧 ,2
443,超级随和的像朋友一样 ,2
444,简直太羡慕你了目测tt身高不高吧 ,2
445,露天的吗，是天然的？ ,6
446,当然，露天的，天然的，男女混浴的 ,6
447,上次去了那种室内室外都有的温泉，但是是男女分开的，外面差点没冻死，还是乖乖在室内 ,5
448,并不会啊，泡得一身汗 ,6
449,现在已经变成唯票房论了，真心心塞 ,5
450,#刘亦菲#很多人酸的是中韩合拍票房口碑都不好可是这个导演有烂片？  不要听到中韩就觉得不好 ,5
451,粉圈越混越傻呗，被别人嘲多了洗脑了 ,5
452,#刘亦菲#其实我更不喜欢的是韩国男主 ,5
453,真的很爱你晚安 ,2
454,哈哈哈哈哈哈哈哈、！你好认真、可是我觉得好好笑。 ,1
455,能不能愉快的聊天那我去删掉哼 ,6
456,我会怕你删掉、？ ,6
457,好玩吗你和谁去啊嘉仪 ,6
458,和大头去好玩但好累，要六点半就起床 ,6
459,哈哈不错哟干嘛要六点半起床啊 ,1
460,因为要六点半出发去玩 ,6
461,哦哦这样啊好累的吧 ,6
462,非常累现在回去了，下大雨 ,3
